Metadata,Avatar Prior,,,,,Avatar Creation,,,,,,Avatar Animation,,,,,,,Double Checked,Reviewer
carbonera2024relightable,"Per-subject (multi-view video under static lighting, 4 identities)","Custom multi-view relighting benchmark (4 identities, indoor/outdoor)",Real,Multi-view video,,"Tracked 3DMM, Cameras, Registered Meshes",Multi-view video,"SMPL body model, intrinsic decomposition (normals, visibility, materials in UV space)",Yes,Slow (>6h),,Pose,Distant Light,Offline (<1 FPS),,"NeRF (implicit geometry with drivable density field, BRDF, differentiable rendering)",No,Full-body,FALSE,
feng2021pixie,"Large (multiple datasets for body, face, hands)","COCO, CuratedFits, FFHQ, FreiHAND, LaPa, NOW benchmark",Real,Single image,,Tracked 3DMM,One,"SMPL-X body model, FLAME face model, MANO hand model, moderator network fusing part-expert features",No,Instant (<1min),,3DMM expr,None,Real-time (>30 FPS),,Mesh-based (SMPL-X with DECA-style face detail),No,"Full-body, Face, Hands",FALSE,
sanyal2024sculpt,Medium (3D scans from CAPE + 2D images from DeepFashion),"CAPE, DeepFashion",Real,"Meshes, Single image",,"Registered Meshes, Tracked 3DMM",Zero,"SMPL body model, CLIP, BLIP for attribute labels, differentiable rendering",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,Mesh-based (per-vertex displacements on SMPL + UV texture generation),No,"Full-body, Garment",FALSE,
chhatre2024amuse,Large (motion capture datasets with emotional speech),"BEAT, SHOW",Real,Mono video,,Tracked 3DMM,Audio,"SMPL-X body model, latent diffusion, emotion/style disentanglement",No,Instant (<1min),,Audio,None,Interactive (>5 FPS),,Mesh-based (SMPL-X body parameters),No,Full-body,FALSE,
moon2020deephandmesh,Per-subject (multi-view depth captures),"Custom hand mesh dataset, InterHand2.6M",Real,Multi-view video,,Cameras,One,"Hand skeleton model, weakly-supervised training with 3D joint coordinates and multi-view depth maps",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,Mesh-based (encoder-decoder hand mesh),No,Hands,FALSE,
thies2019deferred,Per-subject (monocular video),"FaceForensics, custom scene captures",Real,Mono video,,"Tracked 3DMM, Cameras",Mono video,"3D mesh proxy, neural textures (learned feature maps on mesh)",Yes,Slow (>6h),,"3DMM expr, Video",None,Real-time (>30 FPS),,Deferred neural rendering (neural textures + U-Net renderer),Yes,Face,FALSE,
dkulon2019rec,Large (hand mesh dataset),Custom hand mesh dataset,"Real, Synthetic","Single image, Meshes",,,One,Spectral graph convolution autoencoder for hand mesh prior,No,Instant (<1min),,,None,Real-time (>30 FPS),,Mesh-based (graph convolution decoder),No,Hands,FALSE,
iandola2025squeezeme,Per-subject (multi-view video captures),Custom multi-view captures,Real,Multi-view video,,"Tracked 3DMM, Cameras",Multi-view video,"SMPL body model, blendshape-inspired linear pose correctives, Gaussian distillation from neural network teacher",Yes,Slow (>6h),,Pose,None,Real-time (>30 FPS),,3DGS (distilled to linear blendshape-like correctives with custom Vulkan splatting),No,Full-body,FALSE,
fan2024hold,Per-subject (monocular interaction video),"HO3D, DexYCB, custom in-the-wild videos",Real,Mono video,,Tracked 3DMM,Mono video,"MANO hand model, compositional articulated implicit model, hand-object constraints",Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,NeRF (compositional implicit representation for hand and object),No,Hands,FALSE,
aneja2023clipface,Large (FFHQ images for self-supervised training),FFHQ,Real,Single image,,Tracked 3DMM,Text,"3DMM (FLAME or BFM), CLIP, differentiable rendering, adversarial self-supervised training",No,Instant (<1min),,"Text, 3DMM expr",None,Real-time (>30 FPS),,Mesh-based (3DMM with predicted UV texture + expression parameters),No,Face,FALSE,
alldieck2019learning,Large (synthetic training data),"Custom synthetic dataset, People Snapshot, BUFF",Synthetic,Mono video,,Tracked 3DMM,"Few, Mono video","SMPL body model, instance displacement prediction in T-pose",No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,Mesh-based (SMPL + per-vertex displacements for clothing and hair),No,"Full-body, Garment, Hair",FALSE,
pavlakos2019expressive,"Large (thousands of 3D scans for SMPL-X, MoCap data)","Custom curated dataset (100 images), MoCap datasets",Real,Single image,,Tracked 3DMM,One,"SMPL-X body model (extending SMPL with articulated hands and expressive face), neural network pose prior from MoCap",Yes,Medium (<6h),,3DMM expr,None,Offline (<1 FPS),,Mesh-based (SMPL-X parametric model),No,"Full-body, Face, Hands",FALSE,
liu2021neural,8 sequences,"DeepCap (S1, S2), DynaCap (D1, D2), New multi-view corpus (N1-N4), AIST (driving), AMASS (driving)",Real,Multi-view video,,"Tracked 3DMM, Cameras",Multi-view video,"SMPL body model, inverse skinning transformation, texture maps as latent variables, vid2vid for texture prediction from normal maps",Yes,Slow >6h,,Pose,None,Offline <1 FPS,,"NeRF volume rendering in canonical pose space with geometry-guided ray marching, pose-dependent residual deformation network, texture feature extractor (ResNet34), vid2vid texture prior",No,"Full-body, Garment",FALSE,
habermann2021real,8 sequences (5 DynaCap + 3 DeepCap),"DynaCap (5 subjects, new dataset), DeepCap (S1, S2, S4)",Real,Multi-view video,,"Registered Meshes, Cameras",Multi-view video,"Person-specific 3D scanned template, skeleton rigging, dual quaternion skinning, embedded deformation graph, per-vertex rigidity weights",Yes,Slow >6h,,Pose,Distant Light,Real-time >30 FPS,,"Structure-aware graph convolutional networks (SAGCN) for embedded deformation and vertex displacement regression, UNet-based dynamic texture network (TexNet) for motion- and view-dependent 1024x1024 textures, differentiable rasterization with spherical harmonics lighting",No,"Full-body, Garment",FALSE,
zhu2024trihuman,6 sequences,"DynaCap (3 subjects), New dataset (3 subjects)",Real,Multi-view video,,"Registered Meshes, Cameras",Multi-view video,"Person-specific 3D scanned template, skeleton rigging, dual quaternion skinning, embedded deformation graph (from Habermann et al. 2021), deformable human mesh model",Yes,Slow >6h,,Pose,None,Real-time >30 FPS,,"Motion-dependent tri-plane representation with undeformed tri-plane texture space (UTTS), 3D-aware convolutional motion encoder with motion textures (position, velocity, acceleration, UV, normal), SDF and color fields decoded by shallow 4-layer MLPs, NeuS-based unbiased volume rendering, SDF-driven surface refinement with real-time mesh optimization",No,"Full-body, Garment",FALSE,
habermann2023hdhumans,5 sequences,DynaCap (5 subjects),Real,Multi-view video,,"Registered Meshes, Cameras",Multi-view video,"Person-specific 3D scanned template, skeleton rigging, deformable character model (Habermann et al. 2021) with embedded deformation graph and vertex displacements, vid2vid texture-to-texture translation",Yes,Slow >6h,,Pose,None,Offline <1 FPS,,"Mesh-guided NeRF with geometry-guided sampling (32 samples per ray, 6x more efficient), motion-dependent neural texture via vid2vid and UNet feature encoder (1024x1024x32), surface-relative encoding with signed distance and texture features, NeRF-guided deformation refinement via 3D pointcloud loss, trained on 4K multi-view video (4112x3008)",No,"Full-body, Garment",FALSE,
kwon2023deliffas,3 sequences,"DynaCap (D1, D2, D5)",Real,Multi-view video,,"Registered Meshes, Cameras",Multi-view video,"Person-specific deformable human mesh model (Habermann et al. 2021), skeleton rigging, temporal normal maps for motion encoding",Yes,Slow >6h,,Pose,None,Real-time >30 FPS,,"Deformable two-surface light field parameterization (inner surface = deformed mesh, outer surface = 3cm offset along normals), temporal normal feature maps encoded by CNNs, 8-layer MLP with 256 channels for single-evaluation-per-pixel light field rendering, L1 + VGG-16 perceptual loss on full image, 31fps at 1285x940",No,"Full-body, Garment",FALSE,
hu2025animate,100K videos (custom) + TikTok benchmark,"100K character videos from the internet, TikTok benchmark",Real,Monocular video,,,Single image + driving video,"Pretrained Stable Diffusion (LDM), AnimateDiff temporal layers, Sapiens (skeleton + depth extraction), SAM2 (object segmentation), VLM (object localization), ReferenceNet for appearance features, pretrained VAE",No,Instant <1min,,Skeleton + Depth,None,Offline,,"Latent diffusion model (3D UNet extended from Stable Diffusion) with ReferenceNet for character appearance, shape-agnostic mask for environment formulation, object guider with spatial blending for human-object interaction, depth-wise pose modulation via cross-attention for inter-limb spatial relationships, VAE-encoded environment conditioning",No,Full-body,FALSE,
men2025mimo,7K videos (HUD-7K: 5K real + 2K synthetic),"HUD-7K (custom: 5K real character videos + 2K synthetic from En3D), AMASS, Mixamo","Real, Synthetic",Monocular video,,,Single image + driving video (or pose sequence + scene video/image),"Pretrained Stable Diffusion 1.5, AnimateDiff temporal layers, monocular depth estimator (Depth Anything), SMPL body model (for structured motion codes), SAM2 (video tracking), Detectron2 (human detection), pretrained CLIP image encoder, pretrained VAE, video inpainting (ProPainter)",No,Instant <1min,,SMPL (structured motion codes from SMPL vertices),None,Offline,,"Latent diffusion model with spatial decomposed modeling: hierarchical 3D depth-based decomposition into human/scene/occlusion layers, structured motion codes anchored to SMPL vertices via differentiable rasterizer, canonical appearance transfer for identity-motion disentanglement, ReferenceNet + CLIP for identity encoding, VAE-encoded scene and occlusion codes concatenated with latent noise, composed condition decoding in denoising UNet",No,Full-body,FALSE,
zhan2025real,13 sequences,"AvatarRex (3 sequences, 16 views), THuman4.0 (3 sequences, 24 views), ActorsHQ (7 sequences, 39 views)",Real,Multi-view video,,"Registered Meshes, Cameras",Multi-view video,"SMPL-X body model, template mesh (from AnimatableGaussians), LBS skinning weights, PCA projection of poses for novel pose generalization",Yes,Slow >6h,,Pose,None,Real-time >30 FPS,,"3D Gaussian Splatting with spatially distributed MLPs (300 anchors on template mesh), position-based interpolation of MLP outputs, Gaussian offset basis (B=15) with linear combination for high-frequency detail capture, control points (10K) for surface-layer constrained Gaussian positions, 200K Gaussians rendered at 166 FPS, LBS transformation from canonical to posed space, 800K iterations training (17.5h on RTX 3090)",No,Full-body,FALSE,
liu2024texvocab,6 sequences,"THuman4.0 (3 sequences, 24 views), ZJU-MoCap (2 sequences, 21-23 views), DeepCap (1 sequence, 11 views)",Real,Multi-view video,,"Registered Meshes, Cameras",Multi-view video,"SMPL/SMPL-X body model, LBS inverse skinning, pretrained ResNet34 for texture feature extraction, SMPL UV parameterization, VolSDF for density conversion, VGGNet for perceptual loss",Yes,Slow >6h,,Pose,None,Offline,,"Pose-conditioned NeRF with texture vocabulary: back-projected multi-view images to SMPL UV texture maps, body-part-wise decomposition (5 parts) of SMPL skeleton for kinematic-chain-aware encoding, farthest-point-sampled key body parts with KNN interpolation, skinning-weight-wise attention for body-part feature weighting, SDF-based geometry with Eikonal loss, MLP decoding of density and color from texture-conditioned features",No,Full-body,FALSE,
shao2022doublefield,1500 scans (training) + 300 scans (testing),"Twindom (1500 train, 200 test), THuman2.0 (100 test), ZJU-MoCap (real-world evaluation)","Real, Synthetic","Multi-view images, 3D scans",,Cameras,Sparse multi-view images (5-6 views),"Pretrained image encoder for pixel-aligned features, positional encoding, implicit geometric regularization",Yes,Fast <30min,,,None,Offline,,"DoubleField: joint implicit function bridging neural surface field (occupancy) and radiance field (density + color) via shared double MLP embedding, surface-guided sampling strategy for efficient rendering, view-to-view transformer with encoder (self-attention for multi-view fusion) and decoder (cross-attention between query view and input views for view-dependent rendering), high-resolution color encoding from 4K images, large-scale pre-training + 20min person-specific finetuning (4000 iterations)",No,Full-body,FALSE,
zheng2022structured,10 sequences,"ZJU-MoCap (2 sequences), Dress sequences from Habermann et al. (2 sequences), DeepCap sweater (1 sequence), PeopleSnapshot, Custom multi-view (3 sequences)",Real,"Multi-view video, Monocular video",,"SMPL body model, Cameras",Multi-view video or Monocular video,"SMPL body model (linear blend skinning, skeleton), markerless motion capture for body pose estimation, conditional variational auto-encoder (cVAE) for node-related variables",Yes,Slow >6h,,Pose,None,Offline <1 FPS,,"Structured local radiance fields anchored to SMPL nodes with node residual translations and dynamic detail embeddings, coarse-to-fine decomposition (skeleton motion, node residuals, local NeRF details), cVAE-based pose-conditioned generative model for node-related variables, volume rendering at 512x512 (~5 sec per image)",No,Full-body,FALSE,
lin2025interanimate,"90,000 video clips","InterHF (90,000 annotated video clips, 75 hours, 5000 participants, 18 interaction patterns)",Real,Video,,,Single image + Pose sequence,"Stable Video Diffusion 1.1 pretrained weights, ArcFace face embeddings for ID preservation, DW-Pose for hand and face masks",No,Fast <30min,,Pose,None,Offline <1 FPS,,"Region-aware latent video diffusion model built on Stable Video Diffusion, learnable spatial and temporal interaction latents with soft quantization, region attention block with cross-attention and masking for hand-face interaction priors, ID Preserver with ArcFace embeddings, pose encoder via ControlNet, 16 frames at 384x640",No,Full-body,FALSE,
kant2025pippo,~3 billion images (pretraining) + ~1000 identities (multi-view studio),"Humans-3B (3B in-the-wild human images, pretraining), Head-only studio (1450 subjects, ~160 cameras, ~40k frames/subject), Full-body studio (861 subjects, ~230 cameras, ~1k frames/subject), iPhone test (50 subjects), Ava-256, Goliath",Real,"Multi-view images, In-the-wild images",,,Single image,"DINOv2 image embeddings, FaceNet face detection for face crop, Sapiens-2B for background segmentation",No,Instant <1min,,Camera,None,Offline <1 FPS,,"Multi-view diffusion transformer (DiT) with 3-stage training (image pretraining, multi-view mid-training at 128x128 with 24-48 views, post-training at 512-1K with 2-12 views), self-attention conditioning for reference image, ControlMLP with SIREN for Plucker ray and Spatial Anchor injection, attention biasing technique for >5x inference view scaling, VAE latent space with 8x compression",No,"Full-body, Face",FALSE,
jiang2024multiply,6+ sequences,"Hi4D (multi-person interactions with GT meshes), MMM (Monocular Multi-huMan, 6 sequences with 2-4 persons)",Real,Monocular video,,"SMPL body model, Cameras",Monocular video,"SMPL body model (linear blend skinning), TRACE and ViTPose for initial pose estimation, SAM (Segment Anything Model) for instance segmentation, NeRF++ for background modeling",Yes,Slow >6h,,Pose,None,Offline <1 FPS,,"Layered neural implicit SDF and texture fields in canonical space per person, SMPL-based forward/inverse LBS deformation, layer-wise differentiable volume rendering with occlusion-aware composition across multiple human layers, progressive SAM prompting with evolving mesh masks, confidence-guided alternating optimization for pose and shape, depth order loss and interpenetration loss for physically plausible multi-person arrangement",No,Full-body,FALSE,
